task_id,action_type,agent_confidence,user_past_accept_rate,action_reversibility,deviation_from_routine,accept_label,_generating_rule
style_synth_00045,draft_message,0.878,0.769,0.552,0.174,1,high_trust_high_conf
style_synth_00046,draft_message,0.498,0.518,0.508,0.634,0,novel_action_distrust
style_synth_00047,send_reminder,0.742,0.735,0.763,0.137,1,high_trust_high_conf
style_synth_00048,reorganize_files,0.909,0.695,0.821,0.051,1,confident_default_accept
style_synth_00049,reorganize_files,0.285,0.449,0.397,0.071,0,low_confidence_default_reject
style_synth_00050,reorganize_files,0.202,0.844,0.873,0.182,0,low_confidence_default_reject
style_synth_00051,pay_bill,0.525,0.479,0.498,0.287,0,low_confidence_default_reject
style_synth_00052,reorganize_files,0.932,0.448,0.25,0.31,1,confident_default_accept
style_synth_00053,draft_message,0.194,0.425,0.23,0.106,0,risky_irreversible_low_conf
style_synth_00054,pay_bill,0.678,0.643,0.176,0.058,0,risky_irreversible_low_conf
style_synth_00055,reorganize_files,0.835,0.594,0.397,0.698,0,novel_action_distrust
style_synth_00056,schedule_event,0.608,0.859,0.025,0.087,0,risky_irreversible_low_conf
style_synth_00057,draft_message,0.687,0.478,0.655,0.437,0,low_confidence_default_reject
style_synth_00058,pay_bill,0.805,0.407,0.642,0.245,1,confident_default_accept
style_synth_00059,send_reminder,0.584,0.572,0.596,0.218,0,low_confidence_default_reject
style_synth_00060,schedule_event,0.447,0.533,0.109,0.531,0,risky_irreversible_low_conf
style_synth_00061,send_reminder,0.932,0.868,0.444,0.11,1,high_trust_high_conf
style_synth_00062,reorganize_files,0.894,0.602,0.215,0.309,1,confident_default_accept
style_synth_00063,schedule_event,0.781,0.834,0.432,0.583,1,high_trust_high_conf
style_synth_00064,send_reminder,0.737,0.569,0.6,0.303,1,confident_default_accept
style_synth_00065,schedule_event,0.869,0.429,0.622,0.345,1,confident_default_accept
style_synth_00066,schedule_event,0.706,0.147,0.142,0.454,0,risky_irreversible_low_conf
style_synth_00067,draft_message,0.909,0.565,0.442,0.311,1,confident_default_accept
style_synth_00068,send_reminder,0.934,0.688,0.328,0.039,1,confident_default_accept
style_synth_00069,send_reminder,0.793,0.681,0.313,0.219,1,confident_default_accept
style_synth_00070,draft_message,0.619,0.736,0.4,0.063,0,low_confidence_default_reject
style_synth_00071,schedule_event,0.712,0.349,0.236,0.112,0,risky_irreversible_low_conf
style_synth_00072,pay_bill,0.664,0.761,0.631,0.519,0,low_confidence_default_reject
style_synth_00073,schedule_event,0.805,0.72,0.554,0.481,1,high_trust_high_conf
style_synth_00074,draft_message,0.554,0.53,0.524,0.255,1,low_confidence_default_reject
style_synth_00075,draft_message,0.402,0.41,0.333,0.374,0,low_confidence_default_reject
style_synth_00076,reorganize_files,0.839,0.797,0.947,0.096,1,high_trust_high_conf
style_synth_00077,pay_bill,0.822,0.281,0.54,0.368,0,low_trust_user
style_synth_00078,send_reminder,0.457,0.466,0.444,0.201,0,low_confidence_default_reject
style_synth_00079,reorganize_files,0.786,0.713,0.2,0.573,0,risky_irreversible_low_conf
style_synth_00080,schedule_event,0.912,0.41,0.092,0.593,1,confident_default_accept
style_synth_00081,reorganize_files,0.228,0.395,0.706,0.446,0,low_confidence_default_reject
style_synth_00082,send_reminder,0.815,0.407,0.837,0.25,1,confident_default_accept
style_synth_00083,draft_message,0.815,0.622,0.988,0.321,1,confident_default_accept
style_synth_00084,draft_message,0.942,0.595,0.133,0.188,1,confident_default_accept
style_synth_00085,reorganize_files,0.934,0.832,0.042,0.257,1,high_trust_high_conf
style_synth_00086,draft_message,0.676,0.621,0.692,0.29,0,low_confidence_default_reject
style_synth_00087,reorganize_files,0.721,0.433,0.426,0.642,0,novel_action_distrust
style_synth_00088,reorganize_files,0.566,0.65,0.035,0.095,0,risky_irreversible_low_conf
style_synth_00089,send_reminder,0.657,0.399,0.279,0.102,0,risky_irreversible_low_conf
style_synth_00090,send_reminder,0.653,0.881,0.846,0.386,0,low_confidence_default_reject
style_synth_00091,pay_bill,0.709,0.715,0.79,0.056,1,high_trust_high_conf
style_synth_00092,send_reminder,0.696,0.735,0.074,0.412,0,risky_irreversible_low_conf
style_synth_00093,send_reminder,0.639,0.495,0.323,0.21,0,low_confidence_default_reject
style_synth_00094,draft_message,0.733,0.551,0.581,0.184,1,confident_default_accept
style_synth_00095,send_reminder,0.691,0.77,0.06,0.354,0,risky_irreversible_low_conf
style_synth_00096,draft_message,0.826,0.611,0.097,0.169,0,risky_irreversible_low_conf
style_synth_00097,pay_bill,0.702,0.43,0.497,0.1,1,confident_default_accept
style_synth_00098,schedule_event,0.502,0.508,0.764,0.209,0,low_confidence_default_reject
style_synth_00099,schedule_event,0.656,0.791,0.373,0.202,1,low_confidence_default_reject
style_synth_00100,schedule_event,0.59,0.684,0.163,0.127,0,risky_irreversible_low_conf
style_synth_00101,draft_message,0.784,0.307,0.629,0.288,1,confident_default_accept
style_synth_00102,pay_bill,0.895,0.778,0.032,0.068,1,high_trust_high_conf
style_synth_00103,send_reminder,0.942,0.491,0.173,0.171,1,confident_default_accept
style_synth_00104,send_reminder,0.809,0.689,0.69,0.264,1,confident_default_accept
style_synth_00105,draft_message,0.632,0.556,0.288,0.423,0,risky_irreversible_low_conf
style_synth_00106,pay_bill,0.785,0.503,0.905,0.29,1,confident_default_accept
style_synth_00107,pay_bill,0.313,0.825,0.535,0.236,0,low_confidence_default_reject
style_synth_00108,reorganize_files,0.909,0.68,0.641,0.441,1,confident_default_accept
style_synth_00109,schedule_event,0.581,0.283,0.193,0.371,0,risky_irreversible_low_conf
style_synth_00110,reorganize_files,0.9,0.597,0.954,0.522,1,confident_default_accept
style_synth_00111,schedule_event,0.892,0.665,0.639,0.166,1,confident_default_accept
style_synth_00112,draft_message,0.705,0.739,0.873,0.069,1,high_trust_high_conf
style_synth_00113,schedule_event,0.903,0.445,0.717,0.295,1,confident_default_accept
style_synth_00114,reorganize_files,0.72,0.496,0.578,0.144,1,confident_default_accept
style_synth_00115,schedule_event,0.843,0.709,0.449,0.157,1,high_trust_high_conf
style_synth_00116,schedule_event,0.82,0.707,0.765,0.046,1,high_trust_high_conf
style_synth_00117,pay_bill,0.917,0.771,0.864,0.096,1,high_trust_high_conf
style_synth_00118,draft_message,0.473,0.68,0.592,0.36,1,low_confidence_default_reject
style_synth_00119,draft_message,0.824,0.536,0.301,0.554,1,confident_default_accept
style_synth_00120,schedule_event,0.955,0.358,0.874,0.111,1,confident_default_accept
style_synth_00121,draft_message,0.802,0.546,0.696,0.492,1,confident_default_accept
style_synth_00122,reorganize_files,0.826,0.388,0.371,0.332,1,confident_default_accept
style_synth_00123,send_reminder,0.882,0.526,0.685,0.18,1,confident_default_accept
style_synth_00124,pay_bill,0.763,0.81,0.049,0.492,0,risky_irreversible_low_conf
style_synth_00125,schedule_event,0.69,0.544,0.529,0.468,0,low_confidence_default_reject
style_synth_00126,pay_bill,0.771,0.685,0.373,0.199,1,confident_default_accept
style_synth_00127,schedule_event,0.509,0.428,0.858,0.236,0,low_confidence_default_reject
style_synth_00128,send_reminder,0.912,0.933,0.314,0.466,1,high_trust_high_conf
style_synth_00129,pay_bill,0.641,0.381,0.078,0.609,0,risky_irreversible_low_conf
style_synth_00130,send_reminder,0.826,0.317,0.432,0.576,1,confident_default_accept
style_synth_00131,schedule_event,0.399,0.74,0.27,0.126,0,risky_irreversible_low_conf
style_synth_00132,schedule_event,0.479,0.431,0.993,0.138,0,low_confidence_default_reject
style_synth_00133,draft_message,0.742,0.679,0.625,0.503,1,confident_default_accept
style_synth_00134,draft_message,0.837,0.711,0.695,0.304,1,high_trust_high_conf
style_synth_00135,reorganize_files,0.481,0.778,0.831,0.054,0,low_confidence_default_reject
style_synth_00136,draft_message,0.501,0.347,0.507,0.349,0,low_confidence_default_reject
style_synth_00137,schedule_event,0.456,0.548,0.967,0.352,0,low_confidence_default_reject
style_synth_00138,send_reminder,0.848,0.468,0.998,0.184,1,confident_default_accept
style_synth_00139,draft_message,0.71,0.63,0.81,0.091,1,confident_default_accept
style_synth_00140,pay_bill,0.793,0.498,0.657,0.138,1,confident_default_accept
style_synth_00141,schedule_event,0.638,0.399,0.262,0.324,0,risky_irreversible_low_conf
style_synth_00142,reorganize_files,0.639,0.786,0.305,0.143,0,low_confidence_default_reject
style_synth_00143,reorganize_files,0.674,0.583,0.619,0.545,0,low_confidence_default_reject
style_synth_00144,send_reminder,0.617,0.598,0.275,0.316,0,risky_irreversible_low_conf
style_synth_00145,send_reminder,0.819,0.695,0.425,0.512,0,confident_default_accept
style_synth_00146,draft_message,0.7,0.526,0.351,0.535,0,low_confidence_default_reject
style_synth_00147,pay_bill,0.788,0.52,0.952,0.223,0,confident_default_accept
style_synth_00148,draft_message,0.633,0.672,0.452,0.54,0,low_confidence_default_reject
style_synth_00149,draft_message,0.66,0.499,0.968,0.556,0,low_confidence_default_reject
style_synth_00150,pay_bill,0.799,0.839,0.441,0.009,1,high_trust_high_conf
style_synth_00151,draft_message,0.716,0.515,0.699,0.172,1,confident_default_accept
style_synth_00152,reorganize_files,0.182,0.789,0.731,0.071,0,low_confidence_default_reject
style_synth_00153,pay_bill,0.447,0.394,0.616,0.402,0,low_confidence_default_reject
style_synth_00154,reorganize_files,0.77,0.543,0.69,0.588,1,confident_default_accept
style_synth_00155,reorganize_files,0.348,0.57,0.528,0.165,0,low_confidence_default_reject
style_synth_00156,schedule_event,0.856,0.357,0.402,0.497,1,confident_default_accept
style_synth_00157,pay_bill,0.5,0.651,0.239,0.291,1,risky_irreversible_low_conf
style_synth_00158,pay_bill,0.44,0.816,0.781,0.122,1,low_confidence_default_reject
style_synth_00159,send_reminder,0.744,0.214,0.115,0.042,0,risky_irreversible_low_conf
style_synth_00160,pay_bill,0.53,0.343,0.179,0.487,0,risky_irreversible_low_conf
style_synth_00161,draft_message,0.608,0.783,0.972,0.404,0,low_confidence_default_reject
style_synth_00162,schedule_event,0.744,0.785,0.897,0.333,1,high_trust_high_conf
style_synth_00163,schedule_event,0.763,0.527,0.851,0.422,1,confident_default_accept
style_synth_00164,schedule_event,0.85,0.657,0.826,0.114,1,confident_default_accept
style_synth_00165,draft_message,0.856,0.657,0.222,0.121,1,confident_default_accept
style_synth_00166,send_reminder,0.841,0.907,0.168,0.354,0,risky_irreversible_low_conf
style_synth_00167,pay_bill,0.782,0.358,0.499,0.103,1,confident_default_accept
style_synth_00168,pay_bill,0.578,0.666,0.913,0.4,0,low_confidence_default_reject
style_synth_00169,draft_message,0.481,0.478,0.917,0.107,0,low_confidence_default_reject
style_synth_00170,draft_message,0.937,0.564,0.703,0.338,1,confident_default_accept
style_synth_00171,reorganize_files,0.676,0.512,0.341,0.228,0,low_confidence_default_reject
style_synth_00172,schedule_event,0.94,0.571,0.694,0.246,1,confident_default_accept
style_synth_00173,pay_bill,0.549,0.675,0.611,0.359,0,low_confidence_default_reject
style_synth_00174,draft_message,0.858,0.379,0.969,0.383,1,confident_default_accept
style_synth_00175,pay_bill,0.692,0.392,0.547,0.338,0,low_confidence_default_reject
style_synth_00176,pay_bill,0.938,0.574,0.297,0.093,0,confident_default_accept
style_synth_00177,schedule_event,0.606,0.615,0.082,0.201,0,risky_irreversible_low_conf
style_synth_00178,pay_bill,0.707,0.843,0.097,0.402,0,risky_irreversible_low_conf
style_synth_00179,schedule_event,0.84,0.89,0.714,0.202,1,high_trust_high_conf
style_synth_00180,schedule_event,0.509,0.499,0.087,0.201,0,risky_irreversible_low_conf
style_synth_00181,schedule_event,0.786,0.5,0.94,0.097,1,confident_default_accept
style_synth_00182,reorganize_files,0.767,0.45,0.396,0.771,0,novel_action_distrust
style_synth_00183,draft_message,0.526,0.78,0.134,0.349,0,risky_irreversible_low_conf
style_synth_00184,reorganize_files,0.604,0.412,0.851,0.156,0,low_confidence_default_reject
style_synth_00185,draft_message,0.727,0.644,0.961,0.319,1,confident_default_accept
style_synth_00186,schedule_event,0.826,0.724,0.02,0.8,0,risky_irreversible_low_conf
style_synth_00187,send_reminder,0.755,0.743,0.852,0.325,1,high_trust_high_conf
style_synth_00188,send_reminder,0.451,0.474,0.108,0.065,0,risky_irreversible_low_conf
style_synth_00189,draft_message,0.749,0.758,0.14,0.061,0,risky_irreversible_low_conf
style_synth_00190,schedule_event,0.623,0.707,0.658,0.323,0,low_confidence_default_reject
style_synth_00191,send_reminder,0.705,0.256,0.788,0.263,0,low_trust_user
style_synth_00192,send_reminder,0.748,0.373,0.871,0.155,1,confident_default_accept
style_synth_00193,reorganize_files,0.767,0.593,0.452,0.144,1,confident_default_accept
style_synth_00194,schedule_event,0.609,0.548,0.95,0.565,1,low_confidence_default_reject
style_synth_00195,pay_bill,0.724,0.564,0.434,0.304,1,confident_default_accept
style_synth_00196,reorganize_files,0.686,0.631,0.623,0.502,1,low_confidence_default_reject
style_synth_00197,schedule_event,0.667,0.355,0.662,0.339,0,low_confidence_default_reject
style_synth_00198,schedule_event,0.813,0.431,0.973,0.331,1,confident_default_accept
style_synth_00199,reorganize_files,0.554,0.403,0.101,0.185,0,risky_irreversible_low_conf
style_synth_00200,schedule_event,0.745,0.584,0.329,0.658,0,novel_action_distrust
style_synth_00201,draft_message,0.665,0.724,0.802,0.42,1,low_confidence_default_reject
style_synth_00202,pay_bill,0.92,0.196,0.724,0.093,0,low_trust_user
style_synth_00203,send_reminder,0.691,0.457,0.988,0.119,0,low_confidence_default_reject
style_synth_00204,pay_bill,0.677,0.252,0.235,0.281,0,risky_irreversible_low_conf
style_synth_00205,schedule_event,0.815,0.643,0.341,0.358,1,confident_default_accept
style_synth_00206,send_reminder,0.554,0.5,0.046,0.103,0,risky_irreversible_low_conf
style_synth_00207,send_reminder,0.697,0.236,0.892,0.265,1,low_trust_user
style_synth_00208,schedule_event,0.688,0.6,0.815,0.091,0,low_confidence_default_reject
style_synth_00209,reorganize_files,0.804,0.417,0.701,0.645,0,novel_action_distrust
style_synth_00210,draft_message,0.891,0.496,0.583,0.368,1,confident_default_accept
style_synth_00211,schedule_event,0.878,0.623,0.251,0.581,0,confident_default_accept
style_synth_00212,reorganize_files,0.399,0.77,0.799,0.078,0,low_confidence_default_reject
style_synth_00213,send_reminder,0.679,0.822,0.71,0.171,0,low_confidence_default_reject
style_synth_00214,pay_bill,0.545,0.481,0.557,0.16,0,low_confidence_default_reject
style_synth_00215,pay_bill,0.408,0.702,0.55,0.082,0,low_confidence_default_reject
style_synth_00216,send_reminder,0.643,0.797,0.95,0.327,0,low_confidence_default_reject
style_synth_00217,schedule_event,0.704,0.38,0.386,0.168,1,confident_default_accept
style_synth_00218,send_reminder,0.692,0.405,0.065,0.245,0,risky_irreversible_low_conf
style_synth_00219,send_reminder,0.697,0.454,0.822,0.316,0,low_confidence_default_reject
style_synth_00220,schedule_event,0.612,0.506,0.087,0.477,0,risky_irreversible_low_conf
style_synth_00221,send_reminder,0.427,0.585,0.965,0.77,0,novel_action_distrust
style_synth_00222,send_reminder,0.839,0.778,0.835,0.1,1,high_trust_high_conf
style_synth_00223,send_reminder,0.799,0.371,0.128,0.33,0,risky_irreversible_low_conf
style_synth_00224,reorganize_files,0.551,0.677,0.712,0.404,0,low_confidence_default_reject
style_synth_00225,reorganize_files,0.793,0.26,0.14,0.302,0,risky_irreversible_low_conf
style_synth_00226,reorganize_files,0.961,0.692,0.392,0.326,1,confident_default_accept
style_synth_00227,send_reminder,0.902,0.485,0.04,0.524,1,confident_default_accept
style_synth_00228,send_reminder,0.932,0.493,0.835,0.271,1,confident_default_accept
style_synth_00229,schedule_event,0.784,0.52,0.139,0.114,0,risky_irreversible_low_conf
style_synth_00230,draft_message,0.661,0.424,0.591,0.453,0,low_confidence_default_reject
style_synth_00231,pay_bill,0.716,0.444,0.72,0.565,1,confident_default_accept
style_synth_00232,reorganize_files,0.538,0.526,0.453,0.366,0,low_confidence_default_reject
style_synth_00233,send_reminder,0.716,0.561,0.752,0.049,0,confident_default_accept
style_synth_00234,reorganize_files,0.939,0.318,0.589,0.358,1,confident_default_accept
style_synth_00235,reorganize_files,0.937,0.936,0.007,0.333,1,high_trust_high_conf
style_synth_00236,reorganize_files,0.591,0.769,0.681,0.333,0,low_confidence_default_reject
style_synth_00237,send_reminder,0.671,0.662,0.949,0.068,0,low_confidence_default_reject
style_synth_00238,schedule_event,0.8,0.679,0.038,0.207,0,risky_irreversible_low_conf
style_synth_00239,send_reminder,0.706,0.313,0.511,0.338,1,confident_default_accept
style_synth_00240,pay_bill,0.591,0.881,0.919,0.293,0,low_confidence_default_reject
style_synth_00241,draft_message,0.648,0.572,0.117,0.282,0,risky_irreversible_low_conf
style_synth_00242,reorganize_files,0.804,0.459,0.955,0.196,1,confident_default_accept
style_synth_00243,draft_message,0.534,0.593,0.619,0.063,0,low_confidence_default_reject
style_synth_00244,send_reminder,0.389,0.726,0.183,0.475,0,risky_irreversible_low_conf
style_synth_00245,send_reminder,0.783,0.694,0.698,0.246,1,confident_default_accept
style_synth_00246,draft_message,0.732,0.545,0.752,0.237,1,confident_default_accept
style_synth_00247,pay_bill,0.644,0.703,0.422,0.103,0,low_confidence_default_reject
style_synth_00248,reorganize_files,0.617,0.483,0.63,0.301,0,low_confidence_default_reject
style_synth_00249,draft_message,0.742,0.543,0.979,0.188,1,confident_default_accept
style_synth_00250,schedule_event,0.609,0.496,0.572,0.167,0,low_confidence_default_reject
style_synth_00251,reorganize_files,0.595,0.862,0.662,0.167,0,low_confidence_default_reject
style_synth_00252,send_reminder,0.476,0.632,0.39,0.177,0,low_confidence_default_reject
style_synth_00253,pay_bill,0.449,0.61,0.698,0.121,0,low_confidence_default_reject
style_synth_00254,send_reminder,0.86,0.485,0.136,0.154,1,confident_default_accept
style_synth_00255,draft_message,0.466,0.585,0.737,0.303,0,low_confidence_default_reject
style_synth_00256,send_reminder,0.873,0.775,0.618,0.27,0,high_trust_high_conf
style_synth_00257,send_reminder,0.548,0.683,0.786,0.473,0,low_confidence_default_reject
style_synth_00258,draft_message,0.478,0.549,0.738,0.037,0,low_confidence_default_reject
style_synth_00259,reorganize_files,0.549,0.598,0.36,0.076,0,low_confidence_default_reject
style_synth_00260,send_reminder,0.38,0.813,0.091,0.57,0,risky_irreversible_low_conf
style_synth_00261,schedule_event,0.405,0.46,0.135,0.208,0,risky_irreversible_low_conf
style_synth_00262,draft_message,0.645,0.719,0.506,0.379,0,low_confidence_default_reject
style_synth_00263,draft_message,0.758,0.558,0.323,0.351,1,confident_default_accept
style_synth_00264,pay_bill,0.837,0.31,0.624,0.429,0,confident_default_accept
style_synth_00265,pay_bill,0.552,0.507,0.822,0.273,0,low_confidence_default_reject
style_synth_00266,pay_bill,0.889,0.634,0.415,0.124,1,confident_default_accept
style_synth_00267,schedule_event,0.648,0.44,0.315,0.245,0,low_confidence_default_reject
style_synth_00268,send_reminder,0.703,0.826,0.016,0.422,0,risky_irreversible_low_conf
style_synth_00269,draft_message,0.307,0.86,0.138,0.303,0,risky_irreversible_low_conf
style_synth_00270,reorganize_files,0.92,0.328,0.82,0.244,1,confident_default_accept
style_synth_00271,schedule_event,0.707,0.667,0.054,0.279,0,risky_irreversible_low_conf
style_synth_00272,pay_bill,0.547,0.73,0.394,0.109,0,low_confidence_default_reject
style_synth_00273,schedule_event,0.573,0.61,0.561,0.185,0,low_confidence_default_reject
style_synth_00274,schedule_event,0.82,0.69,0.616,0.435,1,confident_default_accept
style_synth_00275,draft_message,0.666,0.231,0.523,0.135,0,low_trust_user
style_synth_00276,schedule_event,0.665,0.245,0.465,0.543,0,low_trust_user
style_synth_00277,reorganize_files,0.724,0.583,0.926,0.041,1,confident_default_accept
style_synth_00278,pay_bill,0.483,0.598,1.0,0.336,0,low_confidence_default_reject
style_synth_00279,send_reminder,0.852,0.496,0.132,0.308,1,confident_default_accept
style_synth_00280,send_reminder,0.788,0.4,0.184,0.066,0,risky_irreversible_low_conf
style_synth_00281,draft_message,0.524,0.419,0.65,0.149,0,low_confidence_default_reject
style_synth_00282,reorganize_files,0.493,0.601,0.325,0.292,0,low_confidence_default_reject
style_synth_00283,reorganize_files,0.759,0.2,0.246,0.559,0,risky_irreversible_low_conf
style_synth_00284,schedule_event,0.323,0.582,0.69,0.361,0,low_confidence_default_reject
style_synth_00285,send_reminder,0.602,0.739,0.25,0.288,0,risky_irreversible_low_conf
style_synth_00286,schedule_event,0.929,0.612,0.55,0.078,1,confident_default_accept
style_synth_00287,pay_bill,0.843,0.752,0.203,0.361,0,risky_irreversible_low_conf
style_synth_00288,schedule_event,0.859,0.496,0.208,0.173,0,confident_default_accept
style_synth_00289,send_reminder,0.84,0.549,0.787,0.129,1,confident_default_accept
style_synth_00290,draft_message,0.448,0.599,0.209,0.149,0,risky_irreversible_low_conf
style_synth_00291,draft_message,0.806,0.567,0.729,0.349,1,confident_default_accept
style_synth_00292,reorganize_files,0.524,0.655,0.79,0.162,0,low_confidence_default_reject
style_synth_00293,send_reminder,0.623,0.415,0.896,0.263,0,low_confidence_default_reject
style_synth_00294,send_reminder,0.626,0.224,0.571,0.143,0,low_trust_user
style_synth_00295,draft_message,0.929,0.614,0.175,0.32,1,confident_default_accept
style_synth_00296,reorganize_files,0.752,0.359,0.205,0.073,0,risky_irreversible_low_conf
style_synth_00297,schedule_event,0.874,0.788,0.287,0.254,1,high_trust_high_conf
style_synth_00298,schedule_event,0.376,0.703,0.283,0.152,0,risky_irreversible_low_conf
style_synth_00299,pay_bill,0.809,0.27,0.629,0.436,0,low_trust_user
style_synth_00300,send_reminder,0.358,0.279,0.31,0.37,0,low_trust_user
style_synth_00301,send_reminder,0.806,0.586,0.065,0.065,0,risky_irreversible_low_conf
style_synth_00302,send_reminder,0.356,0.358,0.401,0.235,0,low_confidence_default_reject
style_synth_00303,draft_message,0.653,0.506,0.67,0.391,0,low_confidence_default_reject
style_synth_00304,reorganize_files,0.87,0.744,0.66,0.05,1,high_trust_high_conf
style_synth_00305,schedule_event,0.803,0.745,0.3,0.28,1,high_trust_high_conf
style_synth_00306,draft_message,0.519,0.301,0.11,0.223,0,risky_irreversible_low_conf
style_synth_00307,reorganize_files,0.738,0.72,0.016,0.43,0,risky_irreversible_low_conf
style_synth_00308,reorganize_files,0.74,0.649,0.385,0.501,1,confident_default_accept
style_synth_00309,send_reminder,0.6,0.333,0.962,0.086,0,low_confidence_default_reject
style_synth_00310,draft_message,0.718,0.7,0.344,0.448,1,confident_default_accept
style_synth_00311,reorganize_files,0.772,0.725,0.26,0.33,0,risky_irreversible_low_conf
style_synth_00312,send_reminder,0.698,0.637,0.257,0.254,0,risky_irreversible_low_conf
style_synth_00313,draft_message,0.712,0.75,0.145,0.209,0,risky_irreversible_low_conf
style_synth_00314,pay_bill,0.7,0.807,0.301,0.416,0,low_confidence_default_reject
style_synth_00315,reorganize_files,0.673,0.76,0.956,0.119,0,low_confidence_default_reject
style_synth_00316,draft_message,0.877,0.409,0.589,0.119,1,confident_default_accept
style_synth_00317,schedule_event,0.575,0.312,0.638,0.35,0,low_confidence_default_reject
style_synth_00318,pay_bill,0.905,0.41,0.162,0.098,0,confident_default_accept
style_synth_00319,draft_message,0.659,0.405,0.106,0.201,1,risky_irreversible_low_conf
style_synth_00320,reorganize_files,0.715,0.581,0.844,0.441,1,confident_default_accept
style_synth_00321,reorganize_files,0.676,0.593,0.76,0.181,0,low_confidence_default_reject
style_synth_00322,draft_message,0.708,0.256,0.193,0.412,0,risky_irreversible_low_conf
style_synth_00323,draft_message,0.518,0.277,0.406,0.154,0,low_trust_user
style_synth_00324,send_reminder,0.798,0.832,0.131,0.21,0,risky_irreversible_low_conf
style_synth_00325,schedule_event,0.49,0.277,0.402,0.107,0,low_trust_user
style_synth_00326,pay_bill,0.846,0.317,0.439,0.088,0,confident_default_accept
style_synth_00327,reorganize_files,0.823,0.655,0.143,0.249,0,risky_irreversible_low_conf
style_synth_00328,send_reminder,0.419,0.63,0.761,0.227,0,low_confidence_default_reject
