task_id,timestamp,task_type,amount,deadline_hours,is_recurring,time_of_day,day_of_week,intervention_label,_generating_rule
synth_00050,2026-01-03T17:00:00,bill_payment,607.82,14.6,0,17,5,0,low_amount
synth_00051,2026-01-03T04:00:00,bill_payment,794.28,86.4,0,4,3,0,low_amount
synth_00052,2026-01-03T13:00:00,bill_payment,71.59,5.2,0,13,4,1,deadline_override
synth_00053,2026-01-03T05:00:00,reminder,0.0,13.0,0,5,6,0,non_financial_low_risk
synth_00054,2026-01-03T23:00:00,reminder,0.0,1.2,0,23,2,1,non_financial_but_imminent
synth_00055,2026-01-03T22:00:00,bill_payment,497.79,13.7,1,22,0,0,recurring_suppressed
synth_00056,2026-01-03T07:00:00,bill_payment,138.5,120.3,0,7,1,1,low_amount
synth_00057,2026-01-03T20:00:00,bill_payment,13.61,163.6,1,20,4,0,recurring_suppressed
synth_00058,2026-01-03T00:00:00,reminder,0.0,36.9,0,0,0,0,non_financial_low_risk
synth_00059,2026-01-03T03:00:00,bill_payment,37.96,27.5,0,3,3,0,low_amount
synth_00060,2026-01-04T21:00:00,bill_payment,32.31,35.2,0,21,5,0,low_amount
synth_00061,2026-01-04T13:00:00,paperwork,0.0,10.5,0,13,0,0,non_financial_low_risk
synth_00062,2026-01-04T21:00:00,reminder,0.0,46.8,0,21,6,0,non_financial_low_risk
synth_00063,2026-01-04T21:00:00,reminder,0.0,34.0,0,21,3,0,non_financial_low_risk
synth_00064,2026-01-04T06:00:00,appointment,0.0,38.8,0,6,3,0,non_financial_low_risk
synth_00065,2026-01-04T00:00:00,bill_payment,261.62,40.4,0,0,2,0,low_amount
synth_00066,2026-01-04T06:00:00,bill_payment,229.78,30.0,0,6,4,0,low_amount
synth_00067,2026-01-04T05:00:00,reminder,0.0,76.3,0,5,5,0,non_financial_low_risk
synth_00068,2026-01-04T10:00:00,appointment,0.0,48.1,0,10,0,0,non_financial_low_risk
synth_00069,2026-01-04T07:00:00,paperwork,0.0,53.6,0,7,6,0,non_financial_low_risk
synth_00070,2026-01-04T13:00:00,bill_payment,59.3,91.0,1,13,5,0,recurring_suppressed
synth_00071,2026-01-04T12:00:00,paperwork,0.0,23.3,0,12,1,0,non_financial_low_risk
synth_00072,2026-01-04T03:00:00,appointment,0.0,107.1,0,3,6,0,non_financial_low_risk
synth_00073,2026-01-04T03:00:00,bill_payment,891.43,2.5,1,3,3,1,deadline_override
synth_00074,2026-01-04T17:00:00,appointment,0.0,36.4,0,17,4,0,non_financial_low_risk
synth_00075,2026-01-04T23:00:00,paperwork,0.0,28.1,0,23,4,0,non_financial_low_risk
synth_00076,2026-01-04T05:00:00,reminder,0.0,28.3,0,5,5,0,non_financial_low_risk
synth_00077,2026-01-04T20:00:00,appointment,0.0,66.9,0,20,2,0,non_financial_low_risk
synth_00078,2026-01-04T08:00:00,appointment,0.0,47.3,0,8,3,0,non_financial_low_risk
synth_00079,2026-01-04T07:00:00,bill_payment,78.79,37.3,1,7,3,0,recurring_suppressed
synth_00080,2026-01-05T13:00:00,paperwork,0.0,3.2,0,13,2,0,non_financial_low_risk
synth_00081,2026-01-05T22:00:00,bill_payment,57.16,112.9,0,22,0,0,low_amount
synth_00082,2026-01-05T00:00:00,paperwork,0.0,23.0,0,0,2,0,non_financial_low_risk
synth_00083,2026-01-05T15:00:00,bill_payment,194.77,77.2,0,15,1,0,low_amount
synth_00084,2026-01-05T21:00:00,appointment,0.0,23.6,0,21,5,0,non_financial_low_risk
synth_00085,2026-01-05T04:00:00,paperwork,0.0,88.1,0,4,4,0,non_financial_low_risk
synth_00086,2026-01-05T21:00:00,reminder,0.0,43.0,0,21,0,0,non_financial_low_risk
synth_00087,2026-01-05T14:00:00,bill_payment,345.86,14.5,0,14,2,0,low_amount
synth_00088,2026-01-05T13:00:00,reminder,0.0,15.7,0,13,2,0,non_financial_low_risk
synth_00089,2026-01-05T01:00:00,appointment,0.0,66.4,0,1,2,0,non_financial_low_risk
synth_00090,2026-01-05T03:00:00,bill_payment,804.77,13.1,0,3,4,1,high_amount
synth_00091,2026-01-05T11:00:00,appointment,0.0,14.2,0,11,1,0,non_financial_low_risk
synth_00092,2026-01-05T05:00:00,reminder,0.0,60.8,0,5,2,0,non_financial_low_risk
synth_00093,2026-01-05T22:00:00,bill_payment,49.41,152.4,0,22,1,0,low_amount
synth_00094,2026-01-05T03:00:00,appointment,0.0,47.4,0,3,5,0,non_financial_low_risk
synth_00095,2026-01-05T03:00:00,reminder,0.0,44.0,0,3,6,0,non_financial_low_risk
synth_00096,2026-01-05T13:00:00,paperwork,0.0,20.5,0,13,5,0,non_financial_low_risk
synth_00097,2026-01-05T13:00:00,appointment,0.0,20.0,0,13,6,0,non_financial_low_risk
synth_00098,2026-01-05T05:00:00,bill_payment,13.48,29.6,1,5,5,0,recurring_suppressed
synth_00099,2026-01-05T17:00:00,appointment,0.0,45.9,0,17,6,0,non_financial_low_risk
synth_00100,2026-01-06T02:00:00,bill_payment,269.32,91.6,0,2,2,0,low_amount
synth_00101,2026-01-06T10:00:00,bill_payment,125.1,22.9,1,10,1,0,recurring_suppressed
synth_00102,2026-01-06T17:00:00,bill_payment,78.8,43.5,0,17,0,0,low_amount
synth_00103,2026-01-06T15:00:00,bill_payment,65.22,38.9,1,15,5,0,recurring_suppressed
synth_00104,2026-01-06T21:00:00,bill_payment,40.82,24.9,1,21,4,0,recurring_suppressed
synth_00105,2026-01-06T23:00:00,appointment,0.0,20.2,0,23,4,0,non_financial_low_risk
synth_00106,2026-01-06T08:00:00,paperwork,0.0,15.2,0,8,1,0,non_financial_low_risk
synth_00107,2026-01-06T06:00:00,bill_payment,31.6,68.9,1,6,5,0,recurring_suppressed
synth_00108,2026-01-06T16:00:00,paperwork,0.0,180.3,0,16,4,0,non_financial_low_risk
synth_00109,2026-01-06T17:00:00,bill_payment,70.3,9.5,1,17,1,0,recurring_suppressed
synth_00110,2026-01-06T22:00:00,reminder,0.0,38.7,0,22,1,0,non_financial_low_risk
synth_00111,2026-01-06T00:00:00,paperwork,0.0,5.2,0,0,4,0,non_financial_low_risk
synth_00112,2026-01-06T01:00:00,appointment,0.0,20.0,0,1,2,0,non_financial_low_risk
synth_00113,2026-01-06T12:00:00,appointment,0.0,82.9,0,12,3,0,non_financial_low_risk
synth_00114,2026-01-06T04:00:00,appointment,0.0,2.6,0,4,6,0,non_financial_low_risk
synth_00115,2026-01-06T16:00:00,bill_payment,527.2,75.1,1,16,3,0,recurring_suppressed
synth_00116,2026-01-06T06:00:00,bill_payment,56.31,45.2,0,6,5,0,low_amount
synth_00117,2026-01-06T05:00:00,appointment,0.0,8.2,0,5,4,0,non_financial_low_risk
synth_00118,2026-01-06T22:00:00,bill_payment,117.93,16.5,1,22,2,0,recurring_suppressed
synth_00119,2026-01-06T08:00:00,appointment,0.0,55.8,0,8,6,0,non_financial_low_risk
synth_00120,2026-01-07T06:00:00,appointment,0.0,78.2,0,6,3,0,non_financial_low_risk
synth_00121,2026-01-07T09:00:00,bill_payment,60.22,7.4,1,9,4,0,recurring_suppressed
synth_00122,2026-01-07T03:00:00,appointment,0.0,16.3,0,3,3,0,non_financial_low_risk
synth_00123,2026-01-07T16:00:00,appointment,0.0,137.2,0,16,4,0,non_financial_low_risk
synth_00124,2026-01-07T02:00:00,bill_payment,32.18,18.7,1,2,1,0,recurring_suppressed
synth_00125,2026-01-07T00:00:00,paperwork,0.0,41.1,0,0,6,0,non_financial_low_risk
synth_00126,2026-01-07T18:00:00,bill_payment,126.5,118.9,1,18,3,0,recurring_suppressed
synth_00127,2026-01-07T11:00:00,appointment,0.0,4.6,0,11,3,0,non_financial_low_risk
synth_00128,2026-01-07T10:00:00,appointment,0.0,93.6,0,10,3,0,non_financial_low_risk
synth_00129,2026-01-07T12:00:00,bill_payment,176.51,18.1,0,12,6,0,low_amount
synth_00130,2026-01-07T17:00:00,reminder,0.0,51.5,0,17,3,0,non_financial_low_risk
synth_00131,2026-01-07T06:00:00,bill_payment,50.86,47.1,0,6,2,0,low_amount
synth_00132,2026-01-07T22:00:00,reminder,0.0,27.7,0,22,3,0,non_financial_low_risk
synth_00133,2026-01-07T07:00:00,reminder,0.0,45.1,0,7,5,0,non_financial_low_risk
synth_00134,2026-01-07T02:00:00,appointment,0.0,38.6,0,2,1,0,non_financial_low_risk
synth_00135,2026-01-07T03:00:00,reminder,0.0,29.7,0,3,5,0,non_financial_low_risk
synth_00136,2026-01-07T16:00:00,appointment,0.0,60.5,0,16,5,0,non_financial_low_risk
synth_00137,2026-01-07T07:00:00,paperwork,0.0,188.4,0,7,3,0,non_financial_low_risk
synth_00138,2026-01-07T08:00:00,bill_payment,749.11,101.5,0,8,6,0,low_amount
synth_00139,2026-01-07T09:00:00,bill_payment,784.22,82.5,1,9,6,0,recurring_suppressed
synth_00140,2026-01-08T04:00:00,reminder,0.0,32.3,0,4,3,0,non_financial_low_risk
synth_00141,2026-01-08T06:00:00,bill_payment,183.94,29.2,0,6,5,0,low_amount
synth_00142,2026-01-08T12:00:00,bill_payment,464.14,18.4,0,12,3,0,low_amount
synth_00143,2026-01-08T04:00:00,paperwork,0.0,50.7,0,4,3,0,non_financial_low_risk
synth_00144,2026-01-08T03:00:00,bill_payment,552.58,5.1,0,3,4,1,deadline_override
synth_00145,2026-01-08T02:00:00,bill_payment,305.77,46.9,0,2,6,0,low_amount
synth_00146,2026-01-08T10:00:00,appointment,0.0,36.6,0,10,5,0,non_financial_low_risk
synth_00147,2026-01-08T01:00:00,paperwork,0.0,98.8,0,1,4,0,non_financial_low_risk
synth_00148,2026-01-08T07:00:00,appointment,0.0,121.8,0,7,5,0,non_financial_low_risk
synth_00149,2026-01-08T22:00:00,reminder,0.0,68.6,0,22,6,0,non_financial_low_risk
synth_00150,2026-01-08T07:00:00,bill_payment,104.47,21.3,0,7,4,0,low_amount
synth_00151,2026-01-08T05:00:00,appointment,0.0,9.5,0,5,0,0,non_financial_low_risk
synth_00152,2026-01-08T20:00:00,bill_payment,295.29,42.0,1,20,2,0,recurring_suppressed
synth_00153,2026-01-08T14:00:00,appointment,0.0,110.0,0,14,2,0,non_financial_low_risk
synth_00154,2026-01-08T13:00:00,bill_payment,125.46,42.5,0,13,5,0,low_amount
synth_00155,2026-01-08T12:00:00,paperwork,0.0,10.7,0,12,6,0,non_financial_low_risk
synth_00156,2026-01-08T21:00:00,bill_payment,204.22,236.1,1,21,3,0,recurring_suppressed
synth_00157,2026-01-08T23:00:00,appointment,0.0,55.6,0,23,0,0,non_financial_low_risk
synth_00158,2026-01-08T09:00:00,paperwork,0.0,85.9,0,9,6,0,non_financial_low_risk
synth_00159,2026-01-08T20:00:00,appointment,0.0,20.8,0,20,1,0,non_financial_low_risk
synth_00160,2026-01-09T21:00:00,appointment,0.0,61.3,0,21,5,0,non_financial_low_risk
synth_00161,2026-01-09T20:00:00,appointment,0.0,112.2,0,20,0,0,non_financial_low_risk
synth_00162,2026-01-09T23:00:00,bill_payment,260.1,4.5,1,23,3,1,deadline_override
synth_00163,2026-01-09T05:00:00,bill_payment,2014.98,36.3,0,5,2,1,high_amount
synth_00164,2026-01-09T09:00:00,reminder,0.0,164.3,0,9,5,0,non_financial_low_risk
synth_00165,2026-01-09T02:00:00,paperwork,0.0,30.3,0,2,1,0,non_financial_low_risk
synth_00166,2026-01-09T17:00:00,bill_payment,412.38,24.3,0,17,2,0,low_amount
synth_00167,2026-01-09T08:00:00,bill_payment,89.37,22.1,0,8,4,0,low_amount
synth_00168,2026-01-09T21:00:00,appointment,0.0,22.3,0,21,1,0,non_financial_low_risk
synth_00169,2026-01-09T10:00:00,appointment,0.0,137.6,0,10,4,0,non_financial_low_risk
synth_00170,2026-01-09T09:00:00,bill_payment,78.98,7.2,0,9,3,0,low_amount
synth_00171,2026-01-09T22:00:00,bill_payment,166.65,22.3,0,22,4,0,low_amount
synth_00172,2026-01-09T13:00:00,paperwork,0.0,8.1,0,13,5,0,non_financial_low_risk
synth_00173,2026-01-09T08:00:00,appointment,0.0,25.2,0,8,0,0,non_financial_low_risk
synth_00174,2026-01-09T11:00:00,bill_payment,129.46,21.6,0,11,4,0,low_amount
synth_00175,2026-01-09T08:00:00,appointment,0.0,3.0,0,8,1,0,non_financial_low_risk
synth_00176,2026-01-09T02:00:00,reminder,0.0,83.4,0,2,5,0,non_financial_low_risk
synth_00177,2026-01-09T01:00:00,appointment,0.0,170.1,0,1,6,0,non_financial_low_risk
synth_00178,2026-01-09T06:00:00,reminder,0.0,74.2,0,6,0,0,non_financial_low_risk
synth_00179,2026-01-09T07:00:00,appointment,0.0,42.4,0,7,2,0,non_financial_low_risk
synth_00180,2026-01-10T08:00:00,paperwork,0.0,43.5,0,8,6,0,non_financial_low_risk
synth_00181,2026-01-10T05:00:00,reminder,0.0,37.3,0,5,0,0,non_financial_low_risk
synth_00182,2026-01-10T23:00:00,bill_payment,71.43,9.2,1,23,3,0,recurring_suppressed
synth_00183,2026-01-10T11:00:00,paperwork,0.0,31.0,0,11,4,0,non_financial_low_risk
synth_00184,2026-01-10T19:00:00,appointment,0.0,12.0,0,19,0,0,non_financial_low_risk
synth_00185,2026-01-10T09:00:00,reminder,0.0,51.6,0,9,3,0,non_financial_low_risk
synth_00186,2026-01-10T02:00:00,bill_payment,126.98,59.8,0,2,2,0,low_amount
synth_00187,2026-01-10T19:00:00,bill_payment,46.66,38.2,0,19,4,0,low_amount
synth_00188,2026-01-10T22:00:00,appointment,0.0,27.0,0,22,0,0,non_financial_low_risk
synth_00189,2026-01-10T23:00:00,appointment,0.0,70.3,0,23,6,0,non_financial_low_risk
synth_00190,2026-01-10T10:00:00,appointment,0.0,12.5,0,10,6,0,non_financial_low_risk
synth_00191,2026-01-10T04:00:00,bill_payment,39.14,52.5,0,4,5,0,low_amount
synth_00192,2026-01-10T10:00:00,bill_payment,559.02,42.4,0,10,5,0,low_amount
synth_00193,2026-01-10T09:00:00,bill_payment,517.74,97.2,0,9,4,0,low_amount
synth_00194,2026-01-10T11:00:00,bill_payment,150.89,31.6,0,11,6,0,low_amount
synth_00195,2026-01-10T19:00:00,bill_payment,86.49,26.9,0,19,4,0,low_amount
synth_00196,2026-01-10T21:00:00,appointment,0.0,45.1,0,21,6,0,non_financial_low_risk
synth_00197,2026-01-10T05:00:00,bill_payment,24.51,122.2,0,5,6,0,low_amount
synth_00198,2026-01-10T23:00:00,appointment,0.0,3.5,0,23,5,0,non_financial_low_risk
synth_00199,2026-01-10T09:00:00,bill_payment,162.75,29.0,1,9,5,0,recurring_suppressed
synth_00200,2026-01-11T01:00:00,reminder,0.0,43.5,0,1,1,0,non_financial_low_risk
synth_00201,2026-01-11T08:00:00,appointment,0.0,53.8,0,8,3,0,non_financial_low_risk
synth_00202,2026-01-11T08:00:00,appointment,0.0,28.0,0,8,1,0,non_financial_low_risk
synth_00203,2026-01-11T21:00:00,bill_payment,123.41,54.5,0,21,2,1,low_amount
synth_00204,2026-01-11T04:00:00,bill_payment,179.27,17.2,1,4,6,0,recurring_suppressed
synth_00205,2026-01-11T21:00:00,bill_payment,55.29,58.4,0,21,6,0,low_amount
synth_00206,2026-01-11T10:00:00,bill_payment,333.67,29.6,1,10,4,0,recurring_suppressed
synth_00207,2026-01-11T05:00:00,bill_payment,215.34,24.9,0,5,6,0,low_amount
synth_00208,2026-01-11T11:00:00,appointment,0.0,56.2,0,11,0,0,non_financial_low_risk
synth_00209,2026-01-11T23:00:00,bill_payment,121.21,3.9,0,23,2,1,deadline_override
synth_00210,2026-01-11T20:00:00,paperwork,0.0,3.8,0,20,0,0,non_financial_low_risk
synth_00211,2026-01-11T04:00:00,bill_payment,331.39,152.4,0,4,1,0,low_amount
synth_00212,2026-01-11T20:00:00,bill_payment,71.71,68.3,1,20,3,0,recurring_suppressed
synth_00213,2026-01-11T21:00:00,appointment,0.0,41.6,0,21,4,0,non_financial_low_risk
synth_00214,2026-01-11T20:00:00,reminder,0.0,18.7,0,20,2,0,non_financial_low_risk
synth_00215,2026-01-11T16:00:00,bill_payment,126.92,15.4,1,16,0,0,recurring_suppressed
synth_00216,2026-01-11T09:00:00,appointment,0.0,2.8,0,9,0,0,non_financial_low_risk
synth_00217,2026-01-11T19:00:00,reminder,0.0,4.5,0,19,4,0,non_financial_low_risk
synth_00218,2026-01-11T23:00:00,appointment,0.0,148.0,0,23,0,0,non_financial_low_risk
synth_00219,2026-01-11T10:00:00,paperwork,0.0,50.6,0,10,4,0,non_financial_low_risk
synth_00220,2026-01-12T05:00:00,bill_payment,467.39,60.1,0,5,0,0,low_amount
synth_00221,2026-01-12T09:00:00,bill_payment,116.8,8.3,0,9,3,0,low_amount
synth_00222,2026-01-12T03:00:00,bill_payment,356.52,50.0,1,3,4,0,recurring_suppressed
synth_00223,2026-01-12T10:00:00,bill_payment,507.43,113.7,0,10,0,0,low_amount
synth_00224,2026-01-12T09:00:00,bill_payment,274.79,43.4,0,9,4,0,low_amount
synth_00225,2026-01-12T21:00:00,paperwork,0.0,80.5,0,21,5,0,non_financial_low_risk
synth_00226,2026-01-12T16:00:00,paperwork,0.0,55.5,0,16,0,0,non_financial_low_risk
synth_00227,2026-01-12T15:00:00,bill_payment,98.59,9.5,1,15,1,0,recurring_suppressed
synth_00228,2026-01-12T12:00:00,bill_payment,39.84,69.8,1,12,1,0,recurring_suppressed
synth_00229,2026-01-12T05:00:00,paperwork,0.0,70.8,0,5,5,0,non_financial_low_risk
synth_00230,2026-01-12T23:00:00,bill_payment,229.63,28.2,1,23,6,0,recurring_suppressed
synth_00231,2026-01-12T15:00:00,appointment,0.0,17.8,0,15,6,0,non_financial_low_risk
synth_00232,2026-01-12T14:00:00,appointment,0.0,40.6,0,14,3,0,non_financial_low_risk
synth_00233,2026-01-12T13:00:00,paperwork,0.0,33.6,0,13,1,0,non_financial_low_risk
synth_00234,2026-01-12T08:00:00,paperwork,0.0,7.2,0,8,0,0,non_financial_low_risk
synth_00235,2026-01-12T03:00:00,reminder,0.0,38.8,0,3,5,0,non_financial_low_risk
synth_00236,2026-01-12T05:00:00,reminder,0.0,16.1,0,5,2,0,non_financial_low_risk
synth_00237,2026-01-12T02:00:00,appointment,0.0,85.4,0,2,1,0,non_financial_low_risk
synth_00238,2026-01-12T13:00:00,reminder,0.0,128.0,0,13,0,0,non_financial_low_risk
synth_00239,2026-01-12T03:00:00,bill_payment,117.46,12.2,0,3,6,0,low_amount
synth_00240,2026-01-13T15:00:00,bill_payment,660.55,85.4,0,15,3,0,low_amount
synth_00241,2026-01-13T06:00:00,reminder,0.0,0.9,0,6,6,1,non_financial_but_imminent
synth_00242,2026-01-13T13:00:00,reminder,0.0,45.1,0,13,0,0,non_financial_low_risk
synth_00243,2026-01-13T02:00:00,bill_payment,58.15,48.9,0,2,0,0,low_amount
synth_00244,2026-01-13T20:00:00,appointment,0.0,36.9,0,20,4,0,non_financial_low_risk
synth_00245,2026-01-13T00:00:00,paperwork,0.0,16.5,0,0,4,0,non_financial_low_risk
synth_00246,2026-01-13T21:00:00,appointment,0.0,10.0,0,21,0,0,non_financial_low_risk
synth_00247,2026-01-13T00:00:00,bill_payment,969.4,74.1,0,0,3,1,high_amount
synth_00248,2026-01-13T02:00:00,bill_payment,105.57,66.0,0,2,2,0,low_amount
synth_00249,2026-01-13T18:00:00,appointment,0.0,5.3,0,18,5,0,non_financial_low_risk
synth_00250,2026-01-13T21:00:00,bill_payment,97.38,49.4,0,21,3,0,low_amount
synth_00251,2026-01-13T04:00:00,appointment,0.0,9.7,0,4,0,0,non_financial_low_risk
synth_00252,2026-01-13T06:00:00,reminder,0.0,1.8,0,6,0,1,non_financial_but_imminent
synth_00253,2026-01-13T09:00:00,reminder,0.0,18.2,0,9,4,0,non_financial_low_risk
synth_00254,2026-01-13T01:00:00,paperwork,0.0,30.8,0,1,6,0,non_financial_low_risk
synth_00255,2026-01-13T12:00:00,bill_payment,222.37,77.1,0,12,5,0,low_amount
synth_00256,2026-01-13T05:00:00,reminder,0.0,19.9,0,5,3,0,non_financial_low_risk
synth_00257,2026-01-13T13:00:00,bill_payment,318.96,4.1,0,13,4,1,deadline_override
synth_00258,2026-01-13T14:00:00,bill_payment,96.19,19.1,1,14,4,0,recurring_suppressed
synth_00259,2026-01-13T19:00:00,bill_payment,122.55,62.3,0,19,3,0,low_amount
synth_00260,2026-01-14T02:00:00,reminder,0.0,141.8,0,2,5,0,non_financial_low_risk
synth_00261,2026-01-14T19:00:00,bill_payment,873.35,146.6,1,19,5,0,recurring_suppressed
synth_00262,2026-01-14T21:00:00,bill_payment,98.62,40.2,0,21,3,0,low_amount
synth_00263,2026-01-14T20:00:00,bill_payment,475.89,36.2,0,20,2,0,low_amount
synth_00264,2026-01-14T08:00:00,bill_payment,360.6,23.5,0,8,6,0,low_amount
synth_00265,2026-01-14T14:00:00,bill_payment,695.53,6.3,0,14,1,0,low_amount
synth_00266,2026-01-14T17:00:00,bill_payment,386.94,20.5,1,17,2,0,recurring_suppressed
synth_00267,2026-01-14T22:00:00,reminder,0.0,59.7,0,22,5,0,non_financial_low_risk
synth_00268,2026-01-14T18:00:00,bill_payment,305.55,32.7,0,18,2,0,low_amount
synth_00269,2026-01-14T02:00:00,reminder,0.0,6.7,0,2,0,0,non_financial_low_risk
synth_00270,2026-01-14T16:00:00,reminder,0.0,60.9,0,16,3,0,non_financial_low_risk
synth_00271,2026-01-14T10:00:00,paperwork,0.0,3.7,0,10,5,0,non_financial_low_risk
synth_00272,2026-01-14T04:00:00,appointment,0.0,35.0,0,4,6,0,non_financial_low_risk
synth_00273,2026-01-14T04:00:00,appointment,0.0,9.6,0,4,3,0,non_financial_low_risk
synth_00274,2026-01-14T16:00:00,reminder,0.0,85.4,0,16,1,0,non_financial_low_risk
synth_00275,2026-01-14T09:00:00,bill_payment,428.03,141.4,0,9,6,0,low_amount
synth_00276,2026-01-14T02:00:00,bill_payment,486.35,47.1,0,2,4,0,low_amount
synth_00277,2026-01-14T05:00:00,appointment,0.0,41.7,0,5,5,0,non_financial_low_risk
synth_00278,2026-01-14T18:00:00,reminder,0.0,19.8,0,18,0,0,non_financial_low_risk
synth_00279,2026-01-14T20:00:00,bill_payment,224.81,69.9,0,20,0,0,low_amount
synth_00280,2026-01-15T09:00:00,appointment,0.0,16.4,0,9,3,0,non_financial_low_risk
synth_00281,2026-01-15T14:00:00,paperwork,0.0,25.0,0,14,0,0,non_financial_low_risk
synth_00282,2026-01-15T22:00:00,bill_payment,110.24,20.0,1,22,2,0,recurring_suppressed
synth_00283,2026-01-15T04:00:00,reminder,0.0,177.8,0,4,6,0,non_financial_low_risk
synth_00284,2026-01-15T14:00:00,appointment,0.0,18.4,0,14,0,0,non_financial_low_risk
synth_00285,2026-01-15T07:00:00,bill_payment,50.81,23.3,0,7,6,0,low_amount
